Caravel memory map vs. SPI register map
----------------------------------------------------------------------------------
SPI register   description     signal			     memory map address
 45	GPIO[28] configure     gpio_configure[28][7:0]       2600_0094
 46	GPIO[29] configure     gpio_configure[29][12:8]      2600_0099
 47	GPIO[29] configure     gpio_configure[29][7:0]       2600_0098
 48	GPIO[30] configure     gpio_configure[30][12:8]      2600_009d
 49	GPIO[30] configure     gpio_configure[30][7:0]       2600_009c
 4a	GPIO[31] configure     gpio_configure[31][12:8]      2600_00a1
 4b	GPIO[31] configure     gpio_configure[31][7:0]       2600_00a0
 4c	GPIO[32] configure     gpio_configure[32][12:8]      2600_00a5
 4d	GPIO[32] configure     gpio_configure[32][7:0]       2600_00a4
 4e	GPIO[33] configure     gpio_configure[33][12:8]      2600_00a9
 4f	GPIO[33] configure     gpio_configure[33][7:0]       2600_00a8
 50	GPIO[34] configure     gpio_configure[34][12:8]      2600_00ad
 51	GPIO[34] configure     gpio_configure[34][7:0]       2600_00ac
 52	GPIO[35] configure     gpio_configure[35][12:8]      2600_00b1
 53	GPIO[35] configure     gpio_configure[35][7:0]       2600_00b0
 54	GPIO[36] configure     gpio_configure[36][12:8]      2600_00b5
 55	GPIO[36] configure     gpio_configure[36][7:0]       2600_00b4
 56	GPIO[37] configure     gpio_configure[37][12:8]      2600_00b9
 57	GPIO[37] configure     gpio_configure[37][7:0]       2600_00b8
 58	GPIO data	       mgmt_gpio_in[37:32]	     2600_0010
 59	GPIO data	       mgmt_gpio_in[31:24]	     2600_000f
 5a	GPIO data	       mgmt_gpio_in[23:16]	     2600_000e
 5b	GPIO data	       mgmt_gpio_in[15:8]	     2600_000d
 5c	GPIO data	       mgmt_gpio_in[7:0]	     2600_000c
 5d	Power control	       pwr_ctrl_out[3:0]	     2600_0004
 5e	GPIO control	       serial_resetn/clock/data	     2600_0000

 5f	PLL enables	       pll_dco_ena, pll_ena	     2610_000c
 60	PLL bypass	       pll_bypass		     2610_0010
 61	IRQ		       irq			     2610_0014
 62     Reset		       reset			     2610_0018
 63	PLL trim	       pll_trim[31:24]		     2610_001f
 64	PLL trim	       pll_trim[23:16]		     2610_001e
 65	PLL trim	       pll_trim[15:8]		     2610_001d
 66	PLL trim	       pll_trim[7:0]		     2610_001c
 67	PLL source	       pll90_sel[2:0], pll_sel[2:0]  2610_0020
 68	PLL divider	       pll_div[4:0]		     2610_0024
----------------------------------------------------------------------------------
